"Visit your Insights Page";"Visit your Insights Circle"
"_EMAIL_SITEPAGE_PAGE_RENEW_BODY";"[header]

Your page: [page_title_with_link] has expired. It has reached the limit of its package. You may renew this page from its dashboard.

To visit this page, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]"
"_EMAIL_SITEPAGE_PAGE_OVERDUE_TITLE";"Circle Overdue"
"_EMAIL_SITEPAGE_PAGE_OVERDUE_DESCRIPTION";"This is the email that gets sent to a member when their page is overdue."
"_EMAIL_SITEPAGE_PAGE_OVERDUE_SUBJECT";"Your page: [page_title] is overdue."
"_EMAIL_SITEPAGE_PAGE_OVERDUE_BODY";"[header]

Your page: [page_title_with_link] is overdue because of a failed or missed payment.

To visit this page, click on the link below, or copy-paste it in your browser:
[object_link]

To renew your page, you may do so from its dashboard.

[footer]"
"_EMAIL_SITEPAGE_PAGE_PENDING_TITLE";"Circle Activation Pending"
"_EMAIL_SITEPAGE_PAGE_PENDING_DESCRIPTION";"This is the email that gets sent to a member when their page activation is pending."
"_EMAIL_SITEPAGE_PAGE_PENDING_SUBJECT";"Your page activation is pending."
"_EMAIL_SITEPAGE_PAGE_PENDING_BODY";"[header]

Thank you for creating your page on our social network! Your page activation is pending, awaiting completion of the transaction. Your page will be activated soon; we will notify you by email when it is ready.
Thank you for your patience.

[page_title]
[page_description]

[footer]"
"_EMAIL_SITEPAGE_PAGE_RECURRENCE_TITLE";"Circle Payment Recurrence"
"_EMAIL_SITEPAGE_PAGE_RECURRENCE_DESCRIPTION";"This is the email that gets sent to a member when they are billed for a recurring payment."
"_EMAIL_SITEPAGE_PAGE_RECURRENCE_SUBJECT";"Your payment for your page has been billed."
"_EMAIL_SITEPAGE_PAGE_RECURRENCE_BODY";"[header]

Your payment for your page has been billed. You should receive an email from the
payment gateway regarding this charge. Thank you for subscribing to our social
network.

[page_title]
[page_description]

To visit this page, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]"
"_EMAIL_SITEPAGE_PAGE_REFUNDED_TITLE";"Circle Payment Refunded"
"_EMAIL_SITEPAGE_PAGE_REFUNDED_DESCRIPTION";"This is the email that gets sent to a member when their page payment is refunded."
"_EMAIL_SITEPAGE_PAGE_REFUNDED_SUBJECT";"Your payment for your page has been refunded."
"_EMAIL_SITEPAGE_PAGE_REFUNDED_BODY";"[header]

Your payment for your page has been refunded.

[page_title]
[page_description]

[footer]"
"_EMAIL_SITEPAGE_PAGE_APPROVED_TITLE";"Circle Approved"
"_EMAIL_SITEPAGE_PAGE_APPROVED_DESCRIPTION";"This is the email that gets sent to a member when their page is approved."
"_EMAIL_SITEPAGE_PAGE_APPROVED_SUBJECT";"Your Circle: [page_title] has been approved."
"_EMAIL_SITEPAGE_PAGE_APPROVED_BODY";"[header]

Thank you for creating your page on our social network! Your page has now been approved.

[page_title]
[page_description]

To visit this page, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]"
"_EMAIL_SITEPAGE_PAGE_DISAPPROVED_TITLE";"Circle Disapproved"
"_EMAIL_SITEPAGE_PAGE_DISAPPROVED_DESCRIPTION";"This is the email that gets sent to a member when their page is disapproved."
"_EMAIL_SITEPAGE_PAGE_DISAPPROVED_SUBJECT";"Your Circle: [page_title] has been disapproved."
"_EMAIL_SITEPAGE_PAGE_DISAPPROVED_BODY";"[header]

Your page has been disapproved.

[page_title]
[page_description]

To visit this page, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]"
"_EMAIL_SITEPAGE_PAGE_APPROVAL_PENDING_TITLE";"Circle Approval Pending"
"_EMAIL_SITEPAGE_PAGE_APPROVAL_PENDING_DESCRIPTION";"This is the email that gets sent to a member when their page is pending for approval."
"_EMAIL_SITEPAGE_PAGE_APPROVAL_PENDING_SUBJECT";"Your Circle: [page_title] is in pending state and awaiting administrative approval."
"_EMAIL_SITEPAGE_PAGE_APPROVAL_PENDING_BODY";"[header]

Your page is in pending state and awaiting administrative approval.

[page_title]
[page_description]

To visit this page, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]"
"_EMAIL_SITEPAGE_PAGE_DECLINED_TITLE";"Circle Declined"
"_EMAIL_SITEPAGE_PAGE_DECLINED_DESCRIPTION";"This is the email that gets sent to a member when their page is declined."
"_EMAIL_SITEPAGE_PAGE_DECLINED_SUBJECT";"Your Circle: [page_title] has been declined."
"_EMAIL_SITEPAGE_PAGE_DECLINED_BODY";"[header]

Your page has been declined.

[page_title]
[page_description]

[footer]"
"_EMAIL_SITEPAGE_CLAIM_APPROVED_EMAIL_TITLE";"Circle Claim Approved"
"_EMAIL_SITEPAGE_CLAIM_APPROVED_EMAIL_DESCRIPTION";"This is the email that goes to a member when their claim for a page has been approved."
"_EMAIL_SITEPAGE_CLAIM_APPROVED_EMAIL_SUBJECT";"Your claim for Circle: [page_title] has been approved"
"_EMAIL_SITEPAGE_CLAIM_APPROVED_EMAIL_BODY";"[header]

Congratulations! Your claim for the page: [page_title_with_link] has been approved. You are now the owner of this Page.

To visit this page, click on the link below, or copy-paste it in your browser:
[object_link]

You can manage the Page from its Dashboard.

[comments]

To see the status of the claims made by you for Pages, please visit:
[my_claim_pages_link]

[footer]
"
"_EMAIL_SITEPAGE_CLAIM_DECLINED_EMAIL_TITLE";"Circle Claim Declined"
"_EMAIL_SITEPAGE_CLAIM_DECLINED_EMAIL_DESCRIPTION";"This is the email that goes to a member when their claim for a page has been declined."
"_EMAIL_SITEPAGE_CLAIM_DECLINED_EMAIL_SUBJECT";"Your claim for Circle: [page_title] has been declined"
"_EMAIL_SITEPAGE_CLAIM_DECLINED_EMAIL_BODY";"[header]

Your claim for this page: [page_title_with_link] has been declined.

To visit this page, click on the link below, or copy-paste it in your browser:
[object_link]

[comments]

[footer]
"
"_EMAIL_SITEPAGE_CLAIM_HOLDING_EMAIL_TITLE";"Circle Claim Approval on Hold"
"_EMAIL_SITEPAGE_CLAIM_HOLDING_EMAIL_DESCRIPTION";"This is the email that goes to a member when their claim for a page has been put on hold for approval."
"_EMAIL_SITEPAGE_CLAIM_HOLDING_EMAIL_SUBJECT";"Your claim for Circle: [page_title] has been put on hold for approval"
"_EMAIL_SITEPAGE_CLAIM_HOLDING_EMAIL_BODY";"[header]

Your claim for the page: [page_title_with_link] has been put on hold for approval.

To visit this page, click on the link below, or copy-paste it in your browser:
[object_link]

[comments]

[footer]
"
"TERM OF CLAIM";"Terms of claiming a Circle"
"TERM OF CLAIM FOR PAGE POINT 1";"By clicking the save"" button when a page, you hereby assert that you are either the owner,manager,employee or associate of the page business,service or interest and have the express authority to own and/or manage of the page of this site."""
"TERM OF CLAIM FOR PAGE POINT 2";"The website admin reserves the right to revoke or transfer ownership of this page for any reason including, but not limited to, inaccurate ownership identification, misrepresentation of page information and abusive spamming activity."
"_EMAIL_SITEPAGE_MANAGEADMIN_EMAIL_TITLE";"Circle ""Manage Admin"" Email"
"_EMAIL_SITEPAGE_MANAGEADMIN_EMAIL_DESCRIPTION";"This email is sent to the one who becomes an administrator of a page."
"_EMAIL_SITEPAGE_MANAGEADMIN_EMAIL_SUBJECT";"You have become administrator of a Circle."
"_EMAIL_SITEPAGE_MANAGEADMIN_EMAIL_BODY";"[header]

Congratulations! [sender] has made you an administrator of this page: [page_title_with_link].

To visit this page, click on the link below, or copy-paste it in your browser:
[page_url]

You can manage the Page from its Dashboard.

[footer]"
"_EMAIL_SITEPAGE_CHANGEOWNER_EMAIL_TITLE";"Circle Owner Changed"
"_EMAIL_SITEPAGE_CHANGEOWNER_EMAIL_DESCRIPTION";"This is the email that goes to a member when owner of their Circle has been changed."
"_EMAIL_SITEPAGE_CHANGEOWNER_EMAIL_SUBJECT";"Owner of the Circle: [page_title] has been changed."
"_EMAIL_SITEPAGE_CHANGEOWNER_EMAIL_BODY";"[header]

The owner of the page: [page_title_with_link] has been changed. You are now no more the owner of this page. All ownership rights for this page have been transferred to the new owner.

For any queries or comments, you may contact us here: [site_contact_us_link].

To visit this page, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]
"
"_EMAIL_SITEPAGE_BECOMEOWNER_EMAIL_TITLE";"Circle Ownership Given"
"_EMAIL_SITEPAGE_BECOMEOWNER_EMAIL_DESCRIPTION";"This email goes to the new owner of the Page when owner of a Circle is changed."
"_EMAIL_SITEPAGE_BECOMEOWNER_EMAIL_SUBJECT";"You are now the owner of the Circle: [page_title]."
"_EMAIL_SITEPAGE_BECOMEOWNER_EMAIL_BODY";"[header]

You are now the owner of the Page: [page_title_with_link]. All ownership rights for this page have been provided to you.

For any queries or comments, you may contact us here: [site_contact_us_link].

To visit this page, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]
"
"lock";"lock"
"unlock";"unlock"
"Unlock this widget and make it available to Page Owners for arranging, adding on, or removing from their Page Profile.";"Unlock this widget and make it available to Page Owners for arranging, adding on, or removing from their Circle Profile."
"If you have NOT placed this widget in the Page Profile Placement area and you ""lock"" it, then this widget will NOT be available to Page Owners for placing on the Page. If you have placed this widget in the Page Profile Placement area and you ""lock"" it, then Page Owners will NOT be able to remove it or drag-n-drop it.";"If you have NOT placed this widget in the Page Profile Placement area and you ""lock"" it, then this widget will NOT be available to Page Owners for placing on the Page. If you have placed this widget in the Page Profile Placement area and you ""lock"" it, then Circle Owners will NOT be able to remove it or drag-n-drop it."
"Page Profile Layout DESCRIPTION";"From the Global Settings of this plugin, you
have allowed Page Owners to be able to arrange, add and remove widgets from the
profile of their Pages. However, you still have control over what Page Profile
widgets should be available to Page Owners, which widgets they should NOT be
able to remove, and which ones they should be able to remove. If you have added
a new plugin on your site, and would like its widget to be shown on Page
Profiles and NOT be removable by Page Owners, then you can drop that widget into
Page Profile below. If you would like to show an announcement, or any HTML
content on Page Profiles, and NOT allow Page Owners to be able to remove it,
then you can do that as well below. If there is a widget coming on profiles of
Pages of your site that you want to be removed, then you can do that below; and
many more such actions.
If you drop a widget from a different plugin into the Page Profile, then Page
Owners will NOT be able to remove it or drag-n-drop it. If you ""lock"" a Page
Profile widget that has NOT been placed in the Page Profile Placement area, then
that widget will NOT be available to Page Owners for placing on the Page. If you
""lock"" a Page Profile widget that has been placed in the Page Profile
Placement area, then Page Owners will NOT be able to remove it or drag-n-drop
it.<br />NOTE: If you have placed ""Ad Campaign"" or ""Html Block"" on this page, then
once you click on the ""Save Changes"" link, you will neither be able to change
the position nor edit that block. So, if you want to do so, you will have to
remove that block from the Page and save changes and then place it again from
the Available Blocks."
"PARENT_KEY_NOT_VALID";"Please check your License key for Directory/Circles Plugin. You might be using an uncorrect license key for this Plugin."
"Page Offers List Page";"Page Offers List Circles"
"How many ads will be shown on page offers list page?";"How many ads will be shown on page offers list page?"
"Show in Updates Tab";"Show in Updates Tab"
"Only Open Pages";"Only Open Circles"
"Only Closed Pages";"Only Closed Circles"
"This is a free page package. One does not need to pay for creating a page of this package.";"This is a free page package. One does not need to pay for creating a page of this package."
"Free Page Package";"Free Circle Package"
"Which activities should be shown in Updates Tab ?";"Which activities should be shown in Updates Tab ?"
"All Posts";"All Posts"
"Only Posts By Page";"Only Posts By Circle"
"ADMIN_ACTIVITY_TYPE_SITEPAGE_LIKE_VIEWER";"When member like the page."
"_ACTIVITY_ACTIONTYPE_SITEPAGE_LIKE_VIEWER";"When I likes the page"
"ITEM_TYPE_SITEPAGE_ALBUM";"Circle Albums"
"Do you want to show Ads on paid Pages ? (Setting this ""No"" will not display the Ads on Pages which belong to paid packages.)";"Do you want to show Ads on paid Pages ? (Setting this ""No"" will not display the Ads on Circles which belong to paid packages.)"
"Who may upload music for this page?";"Who may upload music for this page?"
"Music Creation Privacy";"Music Creation Privacy"
"{item:$subject} changed their Page profile photo.";"{item:$subject} changed their Circle profile photo."
"_ACTIVITY_ACTIONTYPE_SITEPAGE_PROFILE_PHOTO_UPDATE";"When Page Admin change their Circle profile photo as User."
"ADMIN_ACTIVITY_TYPE_SITEPAGE_PROFILE_PHOTO_UPDATE";"When Page Admin change their Circle profile photo as User."
"Display Community Ads in pages of this package at various positions as configured in Ad Settings. (With this setting, you can choose to grant privilege of being ad-free to pages of special / paid packages.)";"Display Community Ads in pages of this package at various positions as configured in Ad Settings. (With this setting, you can choose to grant privilege of being ad-free to pages of special / paid packages.)"
"You cannot configure this setting for packages because you have disabled Community Ads display for pages using ""Community Ads in this plugin"" field in Ad Settings.";"You cannot configure this setting for packages because you have disabled Community Ads display for pages using ""Community Ads in this plugin"" field in Ad Settings."
"AJAX Search for Pages";"AJAX Search for Circles"
"This widget searches over Page Titles via AJAX. The search interface is similar to Facebook search.";"This widget searches over Circle Titles via AJAX. The search interface is similar to Facebook search."
"Community Ads Display";"Community Ads Display"
"Alphabetic Filtering of Pages";"Alphabetic Filtering of Circles"
"This widget enables users to alphabetically filter the directory items / pages on your site by clicking on the desired alphabet. The widget shows all the alphabets for filtering.";"This widget enables users to alphabetically filter the directory items / pages on your site by clicking on the desired alphabet. The widget shows all the alphabets for filtering."
"Ads Display";"Ads Display"
"There is no anyone extension available on this site.";"There is no anyone extension available on this site."
"LANG_FLAG_A";"A"
"LANG_FLAG_B";"B"
"LANG_FLAG_C";"C"
"LANG_FLAG_D";"D"
"LANG_FLAG_E";"E"
"LANG_FLAG_F";"F"
"LANG_FLAG_G";"G"
"LANG_FLAG_H";"H"
"LANG_FLAG_I";"I"
"LANG_FLAG_J";"J"
"LANG_FLAG_K";"K"
"LANG_FLAG_L";"L"
"LANG_FLAG_M";"M"
"LANG_FLAG_N";"N"
"LANG_FLAG_O";"O"
"LANG_FLAG_P";"P"
"LANG_FLAG_Q";"Q"
"LANG_FLAG_R";"R"
"LANG_FLAG_S";"S"
"LANG_FLAG_T";"T"
"LANG_FLAG_U";"U"
"LANG_FLAG_V";"V"
"LANG_FLAG_W";"W"
"LANG_FLAG_X";"X"
"LANG_FLAG_Y";"Y"
"LANG_FLAG_Z";"Z"
"LANG_FLAG_All";"All"
"Networks Selection";"Networks Selection"
"Select the networks, members of which should be able to see your page. (Press Ctrl and click to select multiple networks. You can also choose to make your page viewable to everyone.)";"Select the networks, members of which should be able to see your page. (Press Ctrl and click to select multiple networks. You can also choose to make your page viewable to everyone.)"
"Network selection for Pages";"Network selection for Circles"
"You have chosen that viewers should only see Pages of their network(s). How should a Page's network(s) be decided?";"You have chosen that viewers should only see Pages of their network(s). How should a Circle's network(s) be decided?"
"Page Owner's network(s) [If selected, only members belonging to page owner's network(s) will see the Pages.]";"Page Owner's network(s) [If selected, only members belonging to page owner's network(s) will see the Circles.]"
"Selected Networks [If selected, page admins will be able to choose the networks of which members will be able to see their Page.]";"Selected Networks [If selected, page admins will be able to choose the networks of which members will be able to see their Circle.]"
"Activity Feed Settings";"Activity Feed Settings"
"3%s Level Category:";"3%s Level Category:"
"3%s Level Category";"3%s Level Category"
"Do you want to show all the categories, subcategories and 3rd level categories which are not belongs to any pages.";"Do you want to show all the categories, subcategories and 3rd level categories which are not belongs to any pages."
"Are you sure you want to delete this 3rd level category?";"Are you sure you want to delete this 3rd level category?"
"Slug URL";"Slug URL"
"Do you want to replace blank-space in your category name by ""-"" in URL?";"Do you want to replace blank-space in your category name by ""-"" in URL?"
"Do you want to show 3rd level category to the viewer? (This setting will depend on above setting.)";"Do you want to show 3rd level category to the viewer? (This setting will depend on above setting.)"
"Do you want to show sub-categories in this widget?";"Do you want to show sub-categories in this widget?"
"Do you want all the categories, sub-categories and 3rd level categories to be shown to the user even if they have 0 pages in them?";"Do you want all the categories, sub-categories and 3rd level categories to be shown to the user even if they have 0 pages in them?"
"Below you have been given the options to customize the Activity Feeds related to Pages. These customizations in Activity Feeds need some mandatory changes to be done in the activity feed file which are specified below. (With every setting below, we have provided as the first option that you can replace the Core ""Activity Feed"" widget with the SocialEngineAddOns ""Activity Feed"" widget and then you will not have to modify the core activity files. If that option is not chosen by you, you would need to either automatically or manually modify the files by choosing one of the other 2 options.) Once you configure all the settings below, click on ""Save Changes"" to save them.";"Below you have been given the options to customize the Activity Feeds related to Circles. These customizations in Activity Feeds need some mandatory changes to be done in the activity feed file which are specified below. (With every setting below, we have provided as the first option that you can replace the Core ""Activity Feed"" widget 
with the SocialEngineAddOns ""Activity Feed"" widget and then you will not have to modify the core activity files. If that option is not chosen by you, you would need to either automatically or manually modify the files by choosing one of the other 2 options.) Once you configure all the settings below, click on ""Save Changes"" to save them."
"Page Admin\'s Photo and Name";"Circle Admin\'s Photo and Name"
"Page\'s Photo and Title";"Circle\'s Photo and Title"
"Activity Feeds of Pages Liked";"Activity Feeds of Circles Liked"
"Do you want users to receive the activity feeds of Pages that they have liked on their homepage?";"Do you want users to receive the activity feeds of Circles that they have liked on their homepage?"
"Feed Content on Page Profile";"Feed Content on Circle Profile"
"You have selected ""My Friends & Networks"" or ""My Friends"" option for the ""Feed Content"" field in Activity Feed Settings (""Settings"" > ""Activity Feed Settings""). Do you want the Feed Content on Page Profiles to be unaffected by that setting, such that all activity feeds be shown on Page Profiles irrespective of the setting there?";"You have selected ""My Friends & Networks"" or ""My Friends"" option for the ""Feed Content"" field in Activity Feed Settings (""Settings"" > ""Activity Feed Settings""). Do you want the Feed Content on Page Profiles to be unaffected by that setting, such that all activity feeds be shown on Circle Profiles irrespective of the setting there?"
"If you also want to show Page's photo and title in Page Profile activity feeds for posts from Page's status sharing box in Updates tab, then follow ANY ONE of the below 3 options. (Even if you do not follow any of the below options, page activity feeds other than status posts will be displayed with Page's photo and title.)";"If you also want to show Page's photo and title in Page Profile activity feeds for posts from Page's status sharing box in Updates tab, then follow ANY ONE of the below 3 options. (Even if you do not follow any of the below options, page activity feeds other than status posts will be displayed with Circle's photo and title.)"
"Activity Feeds for Page Status posts";"Activity Feeds for Circle Status posts"
"Use ""SocialEngineAddOns Activity Feed"" widget instead of core ""Activity Feed"" widget. (For this, go to ""Layout"" > ""Layout Editor"" > ""Page Profile"" and replace the already placed ""Activity Feed"" widget with ""SocialEngineAddOns Activity Feed"" widget.)";"Use ""SocialEngineAddOns Activity Feed"" widget instead of core ""Activity Feed"" widget. (For this, go to ""Layout"" > ""Layout Editor"" > ""Circle Profile"" and replace the already placed ""Activity Feed"" widget with ""SocialEngineAddOns Activity Feed"" widget.)"
" to automatically overwrite the file: ""/application/modules/Activity/controllers/IndexController.php"" with the required minor modification. (If you do not want automatic overwriting of file, you can choose the 3rd option for manual changes which also shows the minor modification required.";" to automatically overwrite the file: ""/application/modules/Activity/controllers/IndexController.php"" with the required minor modification. (If you do not want automatic overwriting of file, you can choose the 3rd option for manual changes which also shows the minor modification required."
"If you do not want to follow any of the above two options, then you can manually do the minor code modification. (Please see below the steps that you need to follow.)";"If you do not want to follow any of the above two options, then you can manually do the minor code modification. (Please see below the steps that you need to follow.)"
"Core Activity Feed widget is placed on the Page Profile page. So, either replace it with SocialEngineAddOns Activity Feed widget there or follow one of the remaining 2 options above.";"Core Activity Feed widget is placed on the Circle Profile page. So, either replace it with SocialEngineAddOns Activity Feed widget there or follow one of the remaining 2 options above."
"You have already placed SocialEngineAddOns Activity Feed widget on Page Profile page. Now, if you want to replace it with core Activity Feed widget, you can do so and then you would have to follow one of the remaining 2 options above.";"You have already placed SocialEngineAddOns Activity Feed widget on Circle Profile page. Now, if you want to replace it with core Activity Feed widget, you can do so and then you would have to follow one of the remaining 2 options above."
"You have enabled the ""Edit Page Layout"" field from Global Settings, allowing Page Admins to control page layout. %s to replace core ""Activity Feed"" widget with ""SocialEngineAddOns Activity Feed"" widget for existing Pages on your website.";"You have enabled the ""Edit Page Layout"" field from Global Settings, allowing Page Admins to control page layout. %s to replace core ""Activity Feed"" widget with ""SocialEngineAddOns Activity Feed"" widget for existing Circles on your website."
"No changes have been done in the activity feed file for the above customization.";"No changes have been done in the activity feed file for the above customization."
"The required changes have been successfully done for showing Page photo and title in activity feeds for Page status posts.";"The required changes have been successfully done for showing Page photo and title in activity feeds for Circle status posts."
"Please follow the steps below to manually do these changes in the file:";"Please follow the steps below to manually do these changes in the file:"
"1) Open the file with path: ""/application/modules/Activity/controllers/IndexController.php"".";"1) Open the file with path: ""/application/modules/Activity/controllers/IndexController.php""."
"2) Search for the block of code given below in this file at line no. 147 (approx) :";"2) Search for the block of code given below in this file at line no. 147 (approx) :"
"3) Now, place the below block of code just above the code mentioned above:";"3) Now, place the below block of code just above the code mentioned above:"
"Target File does not exist.";"Target File does not exist."
"Remove from Plugins dropdown";"Remove from Plugins dropdown"
"Add to the Plugins dropdown";"Add to the Plugins dropdown"
"Add/Remove from Plugins dropdown";"Add/Remove from Plugins dropdown"
"ADMIN_ACTIVITY_TYPE_SITEPAGE_POST_SELF";"When page admin(subject) posts a status update on page profile(object)."
"ADMIN_ACTIVITY_TYPE_SITEPAGE_POST";"When user(subject) posts a status update on page profile(object)."
"_ACTIVITY_ACTIONTYPE_SITEPAGE_POST_SELF";"Posting a status update on page profile being its page admin."
"_ACTIVITY_ACTIONTYPE_SITEPAGE_POST";"Posting a status update on page profile being a normal member."
"We have moved these ""Widget Settings"" to ""Layout Editor"". You can change the desired settings of the respective widgets from ""Layout Editor"" by clicking on the ""edit"" link.";"We have moved these ""Widget Settings"" to ""Layout Editor"". You can change the desired settings of the respective widgets from ""Layout Editor"" by clicking on the ""edit"" link."
"Email ID";"Email ID"
"Email Me";"Email Me"
"Visit Website";"Visit Website"
"Page Profile Contact Details";"Circle Profile Contact Details"
"Displays the Contact Details of a page. This widget should be placed on the Page Profile.";"Displays the Contact Details of a page. This widget should be placed on the Circle Profile."
"Displays the Contact Details of your Page.";"Displays the Contact Details of your Circle."
"{item:$object} {body:$body}";"'{item:$object} {body:$body}"
"_ACTIVITY_ACTIONTYPE_SITEPAGE_ADMIN_PROFILE_PHOTO";"When Page Admin change their Page profile photo as Circle."
"ADMIN_ACTIVITY_TYPE_SITEPAGE_ADMIN_PROFILE_PHOTO";"When Page Admin change their Page profile photo as Circle."
"{item:$object} changed their Page profile photo.";"{item:$object} changed their Circle profile photo."
"I have read and agree to the <a href='javascript:void(0);' onclick=window.open('%s','mywindow','width=500,height=500')>terms of service</a>.";"I have read and agree to the <a href='javascript:void(0);' onclick=window.open('%s','mywindow','width=500,height=500')>terms of service</a>."
"Music";"Music"
"Show in ""Other available Packages"" List";"Show in ""Other available Packages"" List"
"Yes, enable custom CSS styles.";"Yes, enable custom CSS styles."
"No, disable custom CSS styles.";"No, disable custom CSS styles."
"Email Body Outer Background";"Email Body Outer Background"
"Select the background color of the outer area in the email around the mail content. (Click on the rainbow below to choose your color.)";"Select the background color of the outer area in the email around the mail content. (Click on the rainbow below to choose your color.)"
"Total Playlist";"Total Playlist"
"Total Songs";"Total Songs"
"Page Block Placement";"Circle Block Placement"
"Edit Columns";"Edit Columns"
"Page Profile Linked Pages";"Page Profile Linked Circles"
"Do you want to show the Advertise your Page widget on Page Profile in the Info widget? (This widget will only be visible to page admins and it displays a catchy phrase to tempt them to create an Ad for their Page. It also has a link to Create an Ad. Click %s to preview this widget.)";"Do you want to show the Advertise your Page widget on Page Profile in the Info widget? (This widget will only be visible to page admins and it displays a catchy phrase to tempt them to create an Ad for their Circle. It also has a link to Create an Ad. Click %s to preview this widget.)"
"Do you want to show a Sample Ad of a Page on its profile in the Info widget? (This widget will only be visible to page admins and will tempt them to create an Ad for their Page. Click %s to preview this widget.)";"Do you want to show a Sample Ad of a Page on its profile in the Info widget? (This widget will only be visible to page admins and will tempt them to create an Ad for their Circle. Click %s to preview this widget.)"
"Do you want to show community ads in the various positions available in this plugin? (Below, you will be able to choose for every individual position. If you do not want to show ads in a particular position, then please enter the value ""0"" for it below.). If you have enabled Packages for Pages from Global Settings, then for each package, you can configure if community ads display should be enabled on their Pages (You can use this to give extra privileges to Pages of special / paid packages by making them free of ads display.).";"Do you want to show community ads in the various positions available in this plugin? (Below, you will be able to choose for every individual position. If you do not want to show ads in a particular position, then please enter the value ""0"" for it below.). If you have enabled Packages for Pages from Global Settings, then for each package, you can configure if community ads display should be enabled on their Pages (You can use this to give extra privileges to Circles of special / 
paid packages by making them free of ads display.)."
"Page Profile Music Widget";"Circle Profile Music Widget"
"Page Music View Page";"Page Music View Circle"
"Page Music Create Page";"Page Music Create Circle"
"Page Music Edit Page";"Page Music Edit Circle"
"How many ads will be shown in page profile music widget?";"How many ads will be shown in page profile music widget?"
"How many ads will be shown on a page music view page?";"How many ads will be shown on a page music view page?"
"How many ads will be shown on a page music create page?";"How many ads will be shown on a page music create page?"
"How many ads will be shown on a page music edit page?";"How many ads will be shown on a page music edit page?"
"Search Form Settings";"Search Form Settings"
"Within Miles / Within Kilometers";"Within Miles / Within Kilometers"
"Which activities should be shown in Updates Tab?";"Which activities should be shown in Updates Tab?"
"Upload Music";"Upload Music"
"Add and share music for this page.";"Add and share music for this page."
"Manage Music";"Manage Music"
"Choose your button color.";"Choose your button color."
"Copy the embed code for your Save to foursquare Button.";"Copy the embed code for your Save to foursquare Button."
"Next to your foursquare venue or foursquare tip, you’ll notice a button: &lt;/&gt; , like in the 2 pictures below.";"Next to your foursquare venue or foursquare tip, you’ll notice a button: &lt;/&gt; , like in the 2 pictures below."
"Click on &lt;/&gt;.";"Click on &lt;/&gt;."
"This Button will enable page visitors to add the Page's place or tip to their foursquare To-Do List, if you have entered its code from the Marketing section of the Dashboard. Note that this feature will be available to you based on your Page's Package and your Member Level.";"This Button will enable page visitors to add the Page's place or tip to their foursquare To-Do List, if you have entered its code from the Marketing section of the Dashboard. Note that this feature will be available to you based on your Circle's Package and your Member Level."
"We have moved these ""General Settings"" to ""Layout Editor"". You can change the desired settings of the respective widgets from ""Layout Editor"" by clicking on the ""edit"" link.";"We have moved these ""General Settings"" to ""Layout Editor"". You can change the desired settings of the respective widgets from ""Layout Editor"" by clicking on the ""edit"" link."
"This URL has been restricted by our automated system. Please choose another URL.";"This URL has been restricted by our automated system. Please choose another URL."
"For %1$s %2$s";"For %1$s %2$s"
"Do you want all the categories, sub-categories and 3rd level categories to be shown to the users even if they have 0 pages in them? (Note: Selecting ""Yes"" will display all the categories WITHOUT  the count of the pages created in them if ""Browse by Networks"" are enabled  from the Global Settings of Directory / Pages Plugin and display all the categories with count if selected ""No"" for Browse by Networks. While selecting ""No"" here will display categories with count of the pages.)";"Do you want all the categories, sub-categories and 3rd level categories to be shown to the users even if they have 0 pages in them? (Note: Selecting ""Yes"" will display all the categories WITHOUT  the count of the pages created in them if ""Browse by Networks"" are enabled  from the Global Settings of Directory / Circles Plugin and display all the categories with count if selected ""No"" for Browse by Networks. While selecting ""No"" here will display categories with count of the pages.)"
"For %s %s";"For %s %s"
"year";"year"
"years";"years"
"month";"month"
"months";"months"
"week";"week"
"weeks";"weeks"
"day";"day"
"days";"days"
"_EMAIL_SITEPAGE_CLAIMOWNER_EMAIL_TITLE";"Circle Claimed"
"_EMAIL_SITEPAGE_CLAIMOWNER_EMAIL_DESCRIPTION";"This mail is sent to the Site Admin when any member claims that Circle."
"_EMAIL_SITEPAGE_CLAIMOWNER_EMAIL_SUBJECT";"This Circle: [page_title] has been claimed."
"_EMAIL_SITEPAGE_CLAIMOWNER_EMAIL_BODY";"[header]

This page: [page_title_with_link] has been claimed.

To view this page, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]
"
"ADMIN_ACTIVITY_TYPE_SITEPAGE_ADMIN_TOPIC_REPLY";"When page admin replies to a page topic."
"_ACTIVITY_ACTIONTYPE_SITEPAGE_ADMIN_TOPIC_REPLY";"When page admin replies to a page topic."
"Please do not leave this page until the process is completed successfully or an error occurs.";"Please do not leave this page until the process is completed successfully or an error occurs."
"Featured & Sponsored Markers";"Featured & Sponsored Markers"
"Using Labels (See FAQ for customizing the labels)";"Using Labels (See FAQ for customizing the labels)"
"Using Icons (See FAQ for customizing the icons)";"Using Icons (See FAQ for customizing the icons)"
"sitepage_page";"page"
